Geofence,LOCATION,BADGE,MUG,DoorType,Datetime,Latitude,Longitude,,
S1,LT2,B67,0,ENTRY,10/25/2020 21:26,,,,
S1,LT2,B68,0,DROP-OFF,11/8/2020 13:35,,,,
S1,LT2,B69,0,EXIT,11/8/2020 15:54,,,,
S1,LT2,B70,0,EXIT,11/7/2020 12:02,,,,
S1,LT2,B71,0,EXIT,10/26/2020 8:13,,,,
S1,LT1,B72,1,PICK-UP,10/31/2020 12:35,,,,
S1,LT2,B73,1,ENTRY,11/3/2020 11:46,,,,
S1,LT2,B74,0,EXIT,11/8/2020 16:17,,,,
S1,LT1,B75,0,ENTRY,10/27/2020 6:41,,,,
S1,LT2,B76,1,EXIT,11/7/2020 11:14,,,,
S1,LT2,B77,1,EXIT,11/9/2020 6:08,,,,
S1,LT2,B78,0,EXIT,11/8/2020 20:44,,,,
S1,LT1,B79,1,EXIT,11/9/2020 11:54,,,,
S1,LT2,B80,0,EXIT,11/6/2020 14:07,,,,
S1,LT1,B81,0,EXIT,11/5/2020 18:07,,,,
S1,LT2,B82,0,EXIT,11/9/2020 6:01,,,,
S1,LT1,B83,0,EXIT,11/8/2020 12:14,,,,
S1,LT2,B84,0,EXIT,11/7/2020 11:16,,,,
S1,LT2,B85,0,EXIT,10/28/2020 7:13,,,,
S1,LT1,B86,0,EXIT,11/8/2020 15:50,,,,
S1,LT1,B87,0,EXIT,11/8/2020 8:56,,,,
S1,LT2,B88,1,EXIT,10/20/2020 12:07,,,,
S1,LT1,B89,1,EXIT,10/26/2020 10:10,,,,
S1,LT2,B90,0,EXIT,11/8/2020 19:09,,,,
S1,LT2,B91,0,EXIT,11/6/2020 14:57,,,,
S1,LT1,B92,0,EXIT,11/9/2020 13:07,,,,
S1,LT2,B93,0,EXIT,11/9/2020 7:52,,,,
S1,LT1,B94,1,EXIT,11/9/2020 6:35,,,,
S1,LT1,B95,1,EXIT,11/3/2020 6:28,,,,
S1,LT2,B96,1,EXIT,10/25/2020 14:46,,,,
S1,LT1,B97,1,EXIT,10/15/2020 15:46,,,,
S1,LT1,B98,1,PICK-UP,10/26/2020 11:36,,,,
S1,LT1,B99,1,EXIT,11/8/2020 11:38,,,,
S1,LT2,B100,0,EXIT,11/9/2020 8:11,,,,
S1,LT1,B101,0,DROP-OFF,10/16/2020 13:13,,,,
S1,LT2,B102,0,DROP-OFF,11/9/2020 9:33,,,,
S1,LT1,B103,0,DROP-OFF,10/10/2020 11:24,,,,
S1,LT2,B104,0,PICK-UP,11/8/2020 20:52,,,,
S1,LT2,B105,0,EXIT,11/7/2020 11:03,,,,
S1,LT1,B106,0,EXIT,11/8/2020 7:25,,,,
S1,LT2,B107,0,EXIT,10/10/2020 12:22,,,,
S1,LT1,B108,1,EXIT,11/9/2020 13:02,,,,
S1,LT1,B109,1,EXIT,11/9/2020 9:04,,,,
S1,LT1,B110,1,EXIT,10/17/2020 15:10,,,,
S1,LT2,B111,0,ENTRY,11/1/2020 10:58,,,,
S1,LT1,B112,0,EXIT,11/6/2020 18:16,,,,
S1,LT1,B113,0,DROP-OFF,10/30/2020 7:17,,,,
S1,LT2,B114,1,EXIT,11/7/2020 18:45,,,,
S1,LT1,B115,0,EXIT,10/25/2020 7:42,,,,
S1,LT2,B116,0,EXIT,11/7/2020 10:36,,,,
S1,LT2,B117,0,EXIT,10/16/2020 10:58,,,,
S1,LT2,B118,0,ENTRY,11/9/2020 13:12,,,,
S1,LT2,B119,1,EXIT,11/9/2020 13:09,,,,
S1,LT1,B120,1,ENTRY,10/10/2020 11:42,,,,
S1,LT1,B121,0,EXIT,11/8/2020 7:00,,,,
S1,LT2,B122,0,EXIT,10/24/2020 12:15,,,,
S1,LT1,B123,1,EXIT,10/16/2020 6:37,,,,
S1,LT1,B124,1,EXIT,11/8/2020 18:19,,,,
S1,LT2,B125,0,EXIT,11/5/2020 17:20,,,,
S1,LT1,B126,0,DROP-OFF,10/10/2020 11:48,,,,
S1,LT1,B127,1,EXIT,10/16/2020 16:35,,,,
S1,LT1,B128,1,EXIT,11/5/2020 17:19,,,,
S1,LT1,B129,1,EXIT,11/4/2020 12:58,,,,
S1,LT2,B130,0,EXIT,11/9/2020 6:30,,,,
S1,LT2,B131,1,EXIT,10/10/2020 15:33,,,,
S1,LT2,B132,0,EXIT,10/17/2020 7:39,,,,
S1,LT1,B133,0,EXIT,11/9/2020 6:51,,,,
S1,LT1,B134,0,DROP-OFF,11/6/2020 13:49,,,,
S1,LT2,B135,0,EXIT,11/7/2020 9:23,,,,
S1,LT1,B136,0,DROP-OFF,10/20/2020 17:48,,,,
S1,LT1,B137,1,EXIT,11/7/2020 19:56,,,,
S1,LT2,B138,0,PICK-UP,11/8/2020 16:06,,,,
S1,LT2,B139,0,EXIT,11/9/2020 9:19,,,,
S1,LT2,B140,0,EXIT,11/7/2020 19:25,,,,
S1,LT1,B141,1,EXIT,11/8/2020 6:21,,,,
S1,LT2,B142,0,EXIT,11/7/2020 19:25,,,,
S1,LT1,B143,1,ENTRY,11/2/2020 12:35,,,,
S1,LT1,B144,0,DROP-OFF,11/7/2020 10:47,,,,
S1,LT2,B145,1,ENTRY,11/3/2020 19:07,,,,
S1,LT1,B146,1,EXIT,10/28/2020 8:12,,,,
S1,LT1,B147,0,EXIT,11/1/2020 7:30,,,,
S1,LT1,B148,0,ENTRY,10/14/2020 11:26,,,,
S1,LT2,B149,0,EXIT,10/30/2020 16:59,,,,
S1,LT1,B150,1,EXIT,11/6/2020 0:06,,,,
S1,LT2,B151,0,PICK-UP,10/28/2020 10:32,,,,
S1,LT1,B152,0,EXIT,11/6/2020 14:19,,,,
S1,LT2,B153,0,EXIT,10/10/2020 12:28,,,,
S1,LT2,B154,0,EXIT,11/8/2020 10:57,,,,
S1,LT1,B155,1,EXIT,11/8/2020 0:11,,,,
S1,LT1,B156,1,EXIT,11/9/2020 8:45,,,,
S1,LT1,B157,0,DROP-OFF,10/10/2020 12:31,,,,
S1,LT2,B158,1,EXIT,10/25/2020 13:11,,,,
S1,LT2,B159,0,EXIT,11/8/2020 13:46,,,,
S1,LT2,B160,0,EXIT,11/8/2020 10:41,,,,
S1,LT2,B161,0,EXIT,11/7/2020 10:33,,,,
S1,LT1,B162,0,EXIT,10/22/2020 23:40,,,,
S1,LT2,B163,0,ENTRY,11/9/2020 12:52,,,,
S1,LT1,B164,1,ENTRY,10/22/2020 13:21,,,,
S1,LT2,B165,0,ENTRY,10/17/2020 14:19,,,,
S1,LT1,B166,0,EXIT,10/18/2020 5:56,,,,
S1,LT2,B167,0,EXIT,10/31/2020 10:05,,,,
S1,LT2,B168,1,EXIT,11/9/2020 0:30,,,,
S1,LT2,B169,1,EXIT,11/7/2020 19:58,,,,
S1,LT2,B170,0,EXIT,11/9/2020 10:35,,,,
S1,LT1,B171,1,EXIT,11/9/2020 11:54,,,,
S1,LT1,B172,0,EXIT,11/8/2020 16:32,,,,
S1,LT2,B173,1,ENTRY,11/9/2020 10:55,,,,
S1,LT2,B174,0,DROP-OFF,11/5/2020 16:18,,,,
S1,LT1,B175,0,EXIT,10/10/2020 13:22,,,,
S1,LT1,B176,0,EXIT,11/8/2020 10:53,,,,
S1,LT2,B177,0,EXIT,11/7/2020 8:22,,,,
S1,LT2,B178,1,EXIT,11/8/2020 23:05,,,,
S1,LT2,B179,0,DROP-OFF,10/30/2020 13:22,,,,
S1,LT1,B180,0,EXIT,11/2/2020 13:56,,,,
S1,LT1,B181,0,EXIT,10/28/2020 15:02,,,,
S1,LT2,B182,1,EXIT,11/7/2020 14:27,,,,
S1,LT1,B183,0,DROP-OFF,10/18/2020 12:47,,,,
S1,LT1,B184,0,EXIT,10/10/2020 13:16,,,,
S1,LT1,B185,0,EXIT,10/18/2020 17:39,,,,
S1,LT2,B186,0,EXIT,10/15/2020 19:22,,,,
S1,LT2,B187,1,EXIT,11/7/2020 16:16,,,,
S1,LT2,B188,0,DROP-OFF,11/9/2020 12:15,,,,
S1,LT1,B189,0,EXIT,10/11/2020 20:05,,,,
S1,LT2,B190,0,EXIT,10/27/2020 9:57,,,,
S1,LT2,B191,0,EXIT,11/5/2020 12:41,,,,
S1,LT1,B192,1,ENTRY,10/29/2020 17:16,,,,
S1,LT1,B193,1,ENTRY,11/5/2020 18:00,,,,
S1,LT1,B194,0,EXIT,10/10/2020 13:30,,,,
S1,LT1,B195,0,EXIT,11/4/2020 18:17,,,,
S1,LT2,B196,0,EXIT,10/26/2020 12:17,,,,
S1,LT1,B197,0,EXIT,11/7/2020 14:54,,,,
S1,LT1,B198,1,ENTRY,10/26/2020 15:41,,,,
S1,LT1,B199,1,EXIT,11/4/2020 21:31,,,,
S1,LT2,B200,0,EXIT,10/23/2020 15:10,,,,
S1,LT2,B201,1,EXIT,11/9/2020 11:31,,,,
S1,LT2,B202,0,DROP-OFF,10/12/2020 12:35,,,,
S1,LT2,B203,1,EXIT,11/5/2020 21:08,,,,
S1,LT2,B204,0,DROP-OFF,10/26/2020 9:14,,,,
S1,LT2,B205,1,EXIT,10/31/2020 13:11,,,,
S1,LT1,B206,0,DROP-OFF,10/20/2020 7:12,,,,
S1,LT2,B207,1,EXIT,11/8/2020 20:24,,,,
S1,LT2,B208,1,EXIT,11/8/2020 15:33,,,,
S1,LT1,B209,1,EXIT,11/6/2020 13:20,,,,
S1,LT1,B210,1,EXIT,11/8/2020 15:17,,,,
S1,LT1,B211,0,EXIT,11/8/2020 14:47,,,,
S1,LT2,B212,0,DROP-OFF,10/17/2020 8:35,,,,
S1,LT1,B213,0,EXIT,10/12/2020 17:25,,,,
S1,LT2,B214,0,PICK-UP,11/2/2020 15:57,,,,
S1,LT2,B215,0,ENTRY,10/13/2020 16:30,,,,
S1,LT1,B216,0,ENTRY,10/26/2020 4:18,,,,
S1,LT1,B217,0,EXIT,11/4/2020 8:15,,,,
S1,LT1,B218,0,EXIT,11/8/2020 10:10,,,,
S1,LT1,B219,1,ENTRY,11/2/2020 11:01,,,,
S1,LT1,B220,1,EXIT,11/6/2020 7:27,,,,
S1,LT2,B221,0,EXIT,11/2/2020 5:19,,,,
S1,LT2,B222,0,EXIT,11/6/2020 1:19,,,,
S1,LT1,B223,1,ENTRY,10/23/2020 19:42,,,,
S1,LT2,B224,1,EXIT,11/8/2020 17:23,,,,
S1,LT2,B225,0,ENTRY,11/7/2020 13:48,,,,
S1,LT2,B226,0,EXIT,10/31/2020 13:14,,,,
S1,LT2,B227,1,EXIT,10/21/2020 23:32,,,,
S1,LT2,B228,1,EXIT,11/9/2020 10:48,,,,
S1,LT2,B229,0,EXIT,10/14/2020 10:18,,,,
S1,LT1,B230,0,DROP-OFF,10/10/2020 14:14,,,,
S1,LT2,B231,1,EXIT,10/22/2020 22:53,,,,
S1,LT1,B232,0,ENTRY,10/25/2020 22:18,,,,
S1,LT2,B233,1,EXIT,10/23/2020 18:54,,,,
S1,LT2,B234,1,EXIT,11/9/2020 11:57,,,,
S1,LT2,B235,0,EXIT,11/3/2020 14:25,,,,
S1,LT2,B236,1,EXIT,11/7/2020 15:18,,,,
S1,LT2,B237,0,EXIT,10/10/2020 14:29,,,,
S1,LT1,B238,0,EXIT,11/9/2020 8:13,,,,
S1,LT2,B239,0,EXIT,11/6/2020 22:13,,,,
S1,LT2,B240,1,EXIT,11/7/2020 23:55,,,,
S1,LT2,B241,0,EXIT,11/1/2020 18:55,,,,
S1,LT1,B242,1,ENTRY,10/27/2020 10:31,,,,
S1,LT1,B243,1,EXIT,10/31/2020 17:16,,,,
S1,LT2,B244,1,EXIT,11/8/2020 20:19,,,,
S1,LT1,B245,0,EXIT,10/24/2020 19:05,,,,
S1,LT2,B246,1,EXIT,10/20/2020 0:48,,,,
S1,LT2,B247,1,EXIT,10/23/2020 16:09,,,,
S1,LT2,B248,0,EXIT,10/10/2020 14:32,,,,
S1,LT1,B249,0,EXIT,10/31/2020 14:51,,,,
S1,LT2,B250,1,EXIT,11/8/2020 20:08,,,,
S1,LT1,B251,0,EXIT,11/8/2020 14:11,,,,
S1,LT2,B252,0,ENTRY,11/9/2020 9:26,,,,
S1,LT2,B253,0,EXIT,11/6/2020 7:46,,,,
S1,LT1,B254,0,EXIT,11/8/2020 16:04,,,,
S1,LT2,B255,0,DROP-OFF,10/28/2020 15:36,,,,
S1,LT1,B256,1,ENTRY,10/21/2020 6:12,,,,
S1,LT2,B257,0,DROP-OFF,11/8/2020 16:44,,,,
S1,LT1,B258,0,EXIT,11/9/2020 13:06,,,,
S1,LT2,B259,0,ENTRY,11/7/2020 15:00,,,,
S1,LT2,B260,1,EXIT,11/8/2020 18:45,,,,
S1,LT1,B261,0,EXIT,10/10/2020 14:51,,,,
S1,LT1,B262,1,EXIT,11/1/2020 16:27,,,,
S1,LT1,B263,0,EXIT,11/4/2020 6:24,,,,
S1,LT1,B264,0,EXIT,11/7/2020 18:15,,,,
S1,LT2,B265,0,EXIT,11/6/2020 12:53,,,,
S1,LT2,B266,0,DROP-OFF,10/18/2020 6:42,,,,
S1,LT1,B267,1,EXIT,10/29/2020 18:05,,,,
S1,LT1,B268,0,EXIT,11/2/2020 20:55,,,,
S1,LT2,B269,0,ENTRY,11/9/2020 13:11,,,,
S1,LT1,B270,0,EXIT,11/6/2020 14:44,,,,
S1,LT1,B271,1,EXIT,11/6/2020 10:05,,,,
S1,LT2,B272,0,EXIT,11/1/2020 12:05,,,,
S1,LT1,B273,1,EXIT,11/9/2020 0:41,,,,
S1,LT2,B274,0,DROP-OFF,10/31/2020 15:15,,,,
S1,LT1,B275,0,DROP-OFF,11/6/2020 12:35,,,,
S1,LT2,B276,0,DROP-OFF,11/7/2020 18:49,,,,
S1,LT2,B277,1,EXIT,11/2/2020 19:07,,,,
S1,LT2,B278,0,DROP-OFF,10/26/2020 17:19,,,,
S1,LT2,B279,0,EXIT,11/5/2020 10:40,,,,
S1,LT2,B280,0,EXIT,10/23/2020 15:26,,,,
S1,LT1,B281,0,EXIT,11/7/2020 10:44,,,,
S1,LT2,B282,1,EXIT,11/7/2020 13:45,,,,
S1,LT1,B283,1,EXIT,11/4/2020 14:22,,,,
S1,LT1,B284,1,EXIT,11/8/2020 16:21,,,,
S1,LT2,B285,0,DROP-OFF,11/8/2020 14:29,,,,
S1,LT2,B286,1,EXIT,10/20/2020 16:23,,,,
S1,LT2,B287,0,EXIT,10/26/2020 13:53,,,,
S1,LT2,B288,0,EXIT,11/2/2020 16:58,,,,
S1,LT2,B289,1,EXIT,11/6/2020 16:01,,,,
S1,LT2,B290,0,EXIT,10/25/2020 5:50,,,,
S1,LT1,B291,1,EXIT,11/7/2020 16:04,,,,
S1,LT1,B292,1,EXIT,10/21/2020 7:54,,,,
S1,LT2,B293,1,EXIT,10/11/2020 18:30,,,,
S1,LT2,B294,1,EXIT,11/8/2020 19:56,,,,
S1,LT1,B295,1,ENTRY,10/30/2020 22:46,,,,
S1,LT2,B296,0,EXIT,10/13/2020 18:42,,,,
S1,LT2,B297,0,EXIT,11/7/2020 18:59,,,,
S1,LT1,B298,1,ENTRY,11/2/2020 6:16,,,,
S1,LT1,B299,1,EXIT,11/9/2020 12:33,,,,
S1,LT1,B300,1,EXIT,11/2/2020 22:33,,,,
S1,LT1,B301,0,EXIT,11/5/2020 14:48,,,,
S1,LT1,B302,0,EXIT,11/5/2020 7:05,,,,
S1,LT1,B303,1,EXIT,11/7/2020 19:35,,,,
S1,LT1,B304,1,EXIT,10/25/2020 9:46,,,,
S1,LT2,B305,0,EXIT,11/9/2020 9:34,,,,
S1,LT2,B306,1,EXIT,11/8/2020 23:19,,,,
S1,LT1,B307,0,EXIT,10/10/2020 16:35,,,,
S1,LT2,B308,0,DROP-OFF,10/31/2020 14:56,,,,
S1,LT2,B309,1,EXIT,10/16/2020 16:03,,,,
S1,LT1,B310,1,EXIT,10/10/2020 16:04,,,,
S1,LT1,B311,0,EXIT,10/10/2020 16:10,,,,
S1,LT2,B312,0,EXIT,11/1/2020 16:26,,,,
S1,LT1,B313,1,EXIT,11/8/2020 15:23,,,,
S1,LT1,B314,1,EXIT,11/3/2020 14:22,,,,
S1,LT2,B315,0,EXIT,10/26/2020 20:01,,,,
S1,LT2,B316,0,EXIT,10/17/2020 12:19,,,,
S1,LT1,B317,0,EXIT,11/6/2020 8:50,,,,
S1,LT2,B318,1,EXIT,10/18/2020 21:42,,,,
S1,LT2,B319,0,DROP-OFF,10/13/2020 7:26,,,,
S1,LT2,B320,0,EXIT,11/9/2020 1:18,,,,
S1,LT2,B321,0,PICK-UP,11/8/2020 13:22,,,,
S1,LT1,B322,0,EXIT,10/14/2020 14:11,,,,
S1,LT1,B323,1,EXIT,11/8/2020 21:52,,,,
S1,LT2,B324,0,EXIT,11/8/2020 16:01,,,,
S1,LT2,B325,0,DROP-OFF,11/9/2020 10:22,,,,
S1,LT2,B326,0,EXIT,11/7/2020 13:13,,,,
S1,LT2,B327,0,EXIT,10/10/2020 18:47,,,,
S1,LT2,B328,1,EXIT,10/21/2020 19:45,,,,
S1,LT1,B329,1,EXIT,10/18/2020 11:53,,,,
S1,LT1,B330,1,EXIT,11/9/2020 12:24,,,,
S1,LT2,B331,1,EXIT,11/8/2020 19:55,,,,
S1,LT1,B332,1,PICK-UP,10/14/2020 6:05,,,,
S1,LT2,B333,0,EXIT,11/7/2020 23:55,,,,
S1,LT2,B334,0,EXIT,11/6/2020 19:52,,,,
S1,LT1,B335,1,EXIT,10/30/2020 7:50,,,,
S1,LT2,B336,1,EXIT,11/8/2020 18:10,,,,
S1,LT2,B337,1,EXIT,10/10/2020 16:53,,,,
S1,LT2,B338,1,EXIT,10/25/2020 22:25,,,,
S1,LT1,B339,1,EXIT,10/18/2020 20:55,,,,
S1,LT1,B340,0,EXIT,10/10/2020 17:18,,,,
S1,LT2,B341,0,EXIT,10/30/2020 16:05,,,,
S1,LT1,B342,1,EXIT,11/5/2020 14:04,,,,
S1,LT1,B343,0,EXIT,10/30/2020 13:21,,,,
S1,LT1,B344,0,DROP-OFF,10/29/2020 8:32,,,,
S1,LT2,B345,1,EXIT,10/12/2020 14:15,,,,
S1,LT2,B346,0,EXIT,10/11/2020 15:32,,,,
S1,LT2,B347,0,EXIT,10/11/2020 17:17,,,,
S1,LT2,B348,1,EXIT,10/29/2020 20:26,,,,
S1,LT1,B349,1,EXIT,11/7/2020 18:55,,,,
S1,LT1,B350,1,EXIT,11/4/2020 20:53,,,,
S1,LT2,B351,1,EXIT,11/8/2020 19:55,,,,
S1,LT1,B352,1,EXIT,11/8/2020 22:39,,,,
S1,LT2,B353,1,EXIT,11/5/2020 18:29,,,,
S1,LT2,B354,1,EXIT,11/6/2020 16:01,,,,
S1,LT2,B355,1,EXIT,11/7/2020 22:44,,,,
S1,LT2,B356,0,EXIT,10/12/2020 8:15,,,,
S1,LT2,B357,1,EXIT,11/7/2020 17:08,,,,
S1,LT1,B358,1,ENTRY,10/25/2020 17:26,,,,
S1,LT2,B359,0,EXIT,11/8/2020 19:50,,,,
S1,LT1,B360,0,EXIT,10/29/2020 8:41,,,,
S1,LT2,B361,0,EXIT,11/7/2020 9:19,,,,
S1,LT1,B362,1,EXIT,11/5/2020 15:05,,,,
S1,LT2,B363,0,EXIT,10/30/2020 19:00,,,,
S1,LT1,B364,1,EXIT,10/11/2020 16:41,,,,
S1,LT2,B365,1,EXIT,11/8/2020 14:13,,,,
S1,LT1,B366,1,EXIT,11/8/2020 10:19,,,,
S1,LT2,B367,0,EXIT,10/26/2020 4:09,,,,
S1,LT2,B368,0,DROP-OFF,11/2/2020 10:33,,,,
S1,LT2,B369,0,EXIT,11/5/2020 15:45,,,,
S1,LT2,B370,1,EXIT,11/6/2020 14:50,,,,
S1,LT2,B371,0,EXIT,11/8/2020 19:28,,,,
S1,LT2,B372,1,EXIT,10/24/2020 16:05,,,,
S1,LT2,B373,1,EXIT,11/3/2020 12:35,,,,
S1,LT1,B374,1,EXIT,11/9/2020 0:14,,,,
S1,LT2,B375,0,EXIT,10/22/2020 12:55,,,,
S1,LT2,B376,0,EXIT,11/9/2020 6:14,,,,
S1,LT1,B377,0,EXIT,11/3/2020 12:28,,,,
S1,LT1,B378,0,EXIT,11/8/2020 16:25,,,,
S1,LT1,B379,1,EXIT,10/22/2020 23:30,,,,
S1,LT1,B380,1,EXIT,11/9/2020 5:25,,,,
S1,LT2,B381,0,EXIT,10/17/2020 13:39,,,,
S1,LT2,B382,0,EXIT,11/4/2020 16:53,,,,
S1,LT1,B383,1,ENTRY,11/9/2020 12:24,,,,
S1,LT1,B384,0,EXIT,11/8/2020 14:59,,,,
S1,LT1,B385,1,EXIT,10/10/2020 18:44,,,,
S1,LT1,B386,1,EXIT,11/5/2020 22:29,,,,
S1,LT2,B387,0,EXIT,10/10/2020 18:25,,,,
S1,LT1,B388,1,EXIT,11/9/2020 6:40,,,,
S1,LT2,B389,0,EXIT,11/8/2020 17:44,,,,
S1,LT1,B390,0,EXIT,11/6/2020 15:44,,,,
S1,LT1,B391,1,EXIT,11/8/2020 21:44,,,,
S1,LT1,B392,1,PICK-UP,11/8/2020 22:21,,,,
S1,LT2,B393,1,ENTRY,11/8/2020 19:50,,,,
S1,LT1,B394,1,PICK-UP,11/7/2020 20:14,,,,
S1,LT1,B395,1,EXIT,11/2/2020 20:20,,,,
S1,LT2,B396,0,EXIT,10/15/2020 3:49,,,,
S1,LT1,B397,1,EXIT,11/9/2020 4:23,,,,
S1,LT1,B398,1,EXIT,11/6/2020 11:57,,,,
S1,LT2,B399,1,EXIT,10/23/2020 21:28,,,,
S1,LT2,B400,0,ENTRY,10/27/2020 19:42,,,,
S1,LT2,B401,1,EXIT,11/9/2020 0:34,,,,
S1,LT1,B402,1,ENTRY,10/10/2020 18:54,,,,
S1,LT2,B403,1,EXIT,11/6/2020 18:45,,,,
S1,LT2,B404,0,EXIT,11/9/2020 6:28,,,,
S1,LT1,B405,0,EXIT,10/10/2020 18:52,,,,
S1,LT1,B406,0,ENTRY,10/17/2020 14:55,,,,
S1,LT1,B407,0,EXIT,10/11/2020 10:23,,,,
S1,LT2,B408,0,EXIT,10/10/2020 19:17,,,,
S1,LT1,B409,1,EXIT,11/8/2020 14:45,,,,
S1,LT2,B410,0,EXIT,10/25/2020 11:04,,,,
S1,LT2,B411,1,EXIT,10/16/2020 23:13,,,,
S1,LT1,B412,0,EXIT,11/9/2020 6:55,,,,
S1,LT1,B413,1,ENTRY,11/8/2020 11:36,,,,
S1,LT1,B414,1,EXIT,11/9/2020 5:49,,,,
S1,LT1,B415,1,PICK-UP,11/8/2020 21:49,,,,
S1,LT1,B416,1,EXIT,11/7/2020 22:19,,,,
S1,LT2,B417,1,EXIT,11/8/2020 20:23,,,,
S1,LT1,B418,1,EXIT,11/8/2020 15:32,,,,
S1,LT2,B419,0,ENTRY,11/4/2020 18:04,,,,
S1,LT1,B420,1,ENTRY,11/8/2020 23:19,,,,
S1,LT1,B421,1,EXIT,11/7/2020 22:06,,,,
S1,LT2,B422,0,EXIT,11/8/2020 8:41,,,,
S1,LT2,B423,0,EXIT,10/26/2020 7:06,,,,
S1,LT2,B424,0,DROP-OFF,11/8/2020 4:07,,,,
S1,LT2,B425,0,EXIT,10/31/2020 18:01,,,,
S1,LT1,B426,1,EXIT,11/6/2020 21:43,,,,
S1,LT2,B427,1,EXIT,11/9/2020 1:11,,,,
S1,LT2,B428,0,ENTRY,11/7/2020 19:09,,,,
